# Time-averaged data for fix fixflux1
# TimeStep v_ptemp f_fix10 f_fix11 v_Jz1 v_Jzk1 v_Jzp1 v_Jzb1 v_Jza1 v_Jzd1 v_Jzi1 v_Jzks1
217720000 322.649 -642.754 84.1905 -3.35929e-10 -4.18012e-10 -2.30135e-10 -5.50253e-11 -2.17481e-10 -1.94315e-10 -1.9476e-10 -1.9476e-10
217730000 320.503 -615.032 64.5698 -3.4305e-10 -3.84847e-10 -2.46543e-10 -8.07589e-11 -1.97161e-10 -1.8619e-10 -1.88113e-10 -1.88113e-10
217740000 319.608 -629.406 86.8424 -4.04063e-10 -4.29624e-10 -2.8129e-10 -7.45628e-11 -1.8927e-10 -1.85775e-10 -1.89115e-10 -1.89115e-10
217750000 322.362 -648.354 61.3515 -4.5636e-10 -4.83165e-10 -3.10557e-10 -9.12765e-11 -2.42684e-10 -2.29041e-10 -2.25091e-10 -2.25091e-10
217760000 323.661 -593.527 85.9733 -4.78106e-10 -6.03855e-10 -3.09936e-10 -9.55343e-11 -2.98018e-10 -2.77693e-10 -2.76733e-10 -2.76733e-10
217770000 320.384 -603.781 79.4731 -4.10766e-10 -4.34105e-10 -2.06587e-10 -1.30341e-10 -2.31922e-10 -1.96699e-10 -1.97222e-10 -1.97222e-10
217780000 319.154 -620.39 67.402 2.32255e-10 1.80901e-10 7.08033e-11 1.25712e-10 7.56971e-11 7.77672e-11 7.46563e-11 7.46563e-11
217790000 316.541 -638.618 57.6859 -1.69526e-10 -1.66202e-10 -8.59614e-11 -5.19356e-11 -9.57099e-11 -7.56779e-11 -7.64903e-11 -7.64903e-11
217800000 317.337 -618.909 86.1815 -1.61479e-10 -1.63455e-10 -5.22445e-11 -5.46663e-11 -9.62721e-11 -7.19798e-11 -6.92846e-11 -6.92846e-11
217810000 316.582 -607.662 102.639 8.32104e-11 8.64593e-11 5.2405e-11 9.90437e-12 5.0807e-11 4.2832e-11 3.97993e-11 3.97993e-11
217820000 316.5 -616.213 92.9719 8.74118e-11 9.29983e-11 3.69706e-11 1.27067e-11 8.0457e-11 4.62331e-11 4.54885e-11 4.54885e-11
217830000 315.842 -596.615 92.9497 -8.15871e-11 -1.15991e-10 -8.411e-11 6.40199e-12 -5.63823e-11 -5.51342e-11 -5.59072e-11 -5.59072e-11
217840000 317.071 -606.722 84.5647 2.60401e-10 3.21738e-10 1.59547e-10 5.32833e-11 1.57422e-10 1.48718e-10 1.45077e-10 1.45077e-10
217850000 317.077 -590.941 87.8855 3.87618e-10 4.71541e-10 2.68274e-10 1.02191e-10 2.15515e-10 2.26779e-10 2.24171e-10 2.24171e-10
217860000 318.256 -608.938 75.1544 3.36606e-10 4.24818e-10 2.19226e-10 5.2438e-11 2.09141e-10 1.91016e-10 1.90008e-10 1.90008e-10
217870000 321.439 -630.397 76.7542 -3.75487e-11 -3.72355e-11 1.04185e-11 -2.5894e-11 -2.17296e-11 -8.30084e-12 -1.12982e-11 -1.12982e-11
217880000 321.597 -642.555 48.3262 -2.40904e-11 -4.06329e-11 -4.60346e-11 -7.03705e-12 2.11957e-11 -1.77324e-11 -1.65377e-11 -1.65377e-11
217890000 322.388 -642.183 83.2949 -7.88502e-11 -1.52413e-10 -3.92106e-11 -4.55134e-11 -3.3411e-11 -6.80827e-11 -6.49451e-11 -6.49451e-11
217900000 321.931 -634.507 83.0338 1.15314e-10 1.17413e-10 7.50314e-11 1.34443e-11 6.45867e-11 5.51687e-11 5.25826e-11 5.25826e-11
217910000 320.623 -629.988 82.3628 6.44452e-11 4.90406e-11 5.39953e-11 1.57158e-11 1.51334e-11 2.13696e-11 2.27024e-11 2.27024e-11
217920000 319.91 -619.489 99.3175 6.74282e-10 7.39328e-10 4.24662e-10 1.60133e-10 3.90168e-10 3.49974e-10 3.47496e-10 3.47496e-10
217930000 317.14 -637.805 92.73 5.40886e-10 5.81231e-10 3.22745e-10 1.3837e-10 3.05786e-10 2.7757e-10 2.71204e-10 2.71204e-10
217940000 318.868 -592.403 83.2349 1.60109e-11 6.59346e-12 -1.94347e-11 7.8053e-12 -4.20438e-12 -8.21656e-12 -8.36695e-12 -8.36695e-12
217950000 320.831 -615.972 89.8405 1.61256e-11 -2.08477e-11 -8.57068e-12 1.24222e-11 1.41542e-11 -6.57867e-12 -6.38656e-12 -6.38656e-12
217960000 319.88 -622.661 74.8126 1.00426e-10 4.46552e-11 5.59496e-11 1.61532e-11 3.53547e-11 9.97774e-12 1.5416e-11 1.5416e-11
217970000 321.964 -640.549 81.8426 6.68831e-11 6.1334e-11 -3.09435e-13 5.91956e-11 2.50548e-11 3.1331e-11 2.74307e-11 2.74307e-11
217980000 325.739 -622.926 91.2587 -6.18866e-11 -3.64044e-12 5.90548e-13 -4.15784e-11 -2.00436e-11 -2.61111e-12 -1.3491e-12 -1.3491e-12
217990000 325.529 -661.109 86.2004 -3.97008e-11 -7.86787e-11 -1.7664e-11 -2.22823e-11 -3.37804e-11 -4.3328e-11 -3.90081e-11 -3.90081e-11
218000000 326.222 -629.837 94.7321 -4.22083e-10 -4.63079e-10 -2.71164e-10 -8.01314e-11 -2.51442e-10 -2.15167e-10 -2.14725e-10 -2.14725e-10
218010000 326.83 -630.357 72.1081 -4.84963e-10 -5.59433e-10 -2.92817e-10 -9.18387e-11 -3.01615e-10 -2.55252e-10 -2.53998e-10 -2.53998e-10
218020000 325.995 -633.17 79.5766 -4.89067e-10 -5.48075e-10 -3.04398e-10 -1.16131e-10 -2.73296e-10 -2.5198e-10 -2.51203e-10 -2.51203e-10
218030000 322.568 -615.84 88.3399 -5.30822e-10 -6.17981e-10 -3.57229e-10 -1.00336e-10 -2.98472e-10 -2.74633e-10 -2.79457e-10 -2.79457e-10
218040000 325.454 -618.301 89.5629 -5.95325e-10 -6.91977e-10 -4.06981e-10 -1.14538e-10 -3.44688e-10 -3.21926e-10 -3.21196e-10 -3.21196e-10
218050000 325.437 -650.173 98.4817 -5.25556e-11 -2.52967e-11 2.09613e-12 -5.76759e-11 -2.33267e-11 -2.07905e-11 -1.81095e-11 -1.81095e-11
218060000 325.67 -631.51 69.4704 1.32718e-10 1.97796e-10 1.49703e-10 -3.13655e-11 9.54527e-11 8.6391e-11 9.13148e-11 9.13148e-11
218070000 326.661 -631.829 70.3959 6.01967e-10 6.49667e-10 3.91884e-10 1.0462e-10 3.35439e-10 2.88958e-10 2.92151e-10 2.92151e-10
218080000 325.463 -605.293 74.2182 3.70808e-10 4.63988e-10 2.08767e-10 9.24766e-11 2.63849e-10 2.23188e-10 2.20365e-10 2.20365e-10
218090000 320.298 -614.864 85.3426 4.26474e-10 4.88387e-10 2.98781e-10 7.05513e-11 2.44375e-10 2.27548e-10 2.25792e-10 2.25792e-10
218100000 319.378 -600.191 78.6303 4.03577e-10 5.15572e-10 3.07262e-10 3.79662e-11 2.5541e-10 2.32301e-10 2.36233e-10 2.36233e-10
218110000 318.443 -610.948 74.1204 8.17772e-10 8.65686e-10 5.35638e-10 1.52254e-10 4.75567e-10 3.95231e-10 4.01651e-10 4.01651e-10
218120000 319.318 -596.948 72.5611 6.83141e-10 8.06492e-10 4.89603e-10 1.30595e-10 4.03962e-10 3.83264e-10 3.82694e-10 3.82694e-10
218130000 315.884 -608.962 104.385 4.93485e-10 5.32917e-10 3.02636e-10 1.01099e-10 3.00433e-10 2.52842e-10 2.49111e-10 2.49111e-10
218140000 316.626 -630.719 88.3839 6.99651e-10 8.05178e-10 4.42025e-10 1.60294e-10 4.05837e-10 3.77022e-10 3.72676e-10 3.72676e-10
218150000 318.92 -626.261 60.6399 -6.36642e-11 -5.25907e-11 -1.92989e-11 5.12232e-12 -5.77723e-11 -2.14811e-11 -2.05891e-11 -2.05891e-11
218160000 322.45 -605.854 84.0357 -4.9755e-10 -5.31033e-10 -3.431e-10 -1.02286e-10 -2.65841e-10 -2.51469e-10 -2.49045e-10 -2.49045e-10
218170000 324.814 -582.684 74.5021 -5.52046e-10 -5.97093e-10 -3.24452e-10 -1.42352e-10 -2.89995e-10 -2.71445e-10 -2.68323e-10 -2.68323e-10
218180000 325.194 -624.938 89.0983 -4.06273e-10 -4.0948e-10 -2.98784e-10 -1.14519e-10 -1.73199e-10 -1.95803e-10 -1.96378e-10 -1.96378e-10
