# Time-averaged data for fix fixflux1
# TimeStep v_ptemp f_fix1 f_fix2 f_fix3 f_fix4 f_fix5 f_fix6 f_fix7 f_fix8 f_fix9 v_Jz1 v_Jzk1 v_Jzp1 v_Jzb1 v_Jza1 v_Jzd1 v_Jzi1 v_Jzks1
14660000 293.857 -31.3723 -16.3966 145.665 33.7027 1.29804 74.4845 83.3304 -41.2447 80.4271 -6.14375e-10 -5.44727e-10 -2.02882e-10 -1.75769e-10 -4.68744e-10 -2.45555e-10 -2.55825e-10 -2.55825e-10
14670000 292.684 -17.8649 -20.9312 152.242 18.6876 -10.6629 57.5103 94.8364 -46.1053 76.1931 -6.74807e-10 -8.66849e-10 -3.5605e-10 -9.72018e-11 -5.46591e-10 -3.97709e-10 -3.97399e-10 -3.97399e-10
14680000 292.35 -22.7269 1.89646 152.267 29.589 -13.4632 76.1259 101.78 -62.8832 63.5483 -3.44912e-10 4.73505e-11 5.55955e-11 -2.63099e-10 -1.2898e-10 2.29097e-11 1.96722e-11 1.96722e-11
14690000 292.992 -26.2917 7.60693 162.628 35.9212 8.42449 53.1332 104.13 -43.6138 75.0755 -5.47711e-10 -8.39888e-10 -6.33434e-10 1.3904e-10 -3.71344e-10 -3.87335e-10 -3.86312e-10 -3.86312e-10
14700000 293.487 -44.6469 -2.63424 176.932 15.7297 24.9094 49.0468 89.9085 -58.8953 72.6012 5.33509e-11 3.73165e-10 3.36504e-10 -1.72191e-10 1.28846e-11 1.50676e-10 1.61922e-10 1.61922e-10
14710000 293.744 -26.8005 5.89834 158.429 20.3935 -34.1475 82.0762 103.041 -83.3757 84.7838 -7.8631e-10 -5.30818e-10 -3.05793e-10 -2.12072e-10 -4.60478e-10 -2.3482e-10 -2.39418e-10 -2.39418e-10
14720000 293.914 -49.6157 -10.8175 152.001 10.7578 -1.92951 92.1062 67.1226 -35.0031 109.751 -1.68995e-09 -1.73689e-09 -1.26173e-09 -3.5025e-10 -7.22241e-10 -8.10805e-10 -7.97992e-10 -7.97992e-10
14730000 294.756 -77.8737 -7.1118 154.527 29.6253 -9.44823 72.5583 86.4306 -27.0341 102.144 6.48494e-12 -7.14599e-11 3.0501e-11 -2.23331e-11 1.71126e-12 -3.02717e-11 -2.45843e-11 -2.45843e-11
14740000 294.895 -53.3193 -3.25464 164.603 8.90681 -7.45237 75.4825 88.0832 -45.3393 84.6146 3.69113e-10 2.9784e-10 2.77317e-10 7.50722e-11 1.27251e-10 1.38649e-10 1.36754e-10 1.36754e-10
14750000 296.47 -35.8952 -31.8447 177.897 8.15125 -10.145 50.6677 73.6755 -59.7724 75.8354 -4.55715e-10 -2.24502e-10 -2.72399e-10 -1.30259e-10 -1.48118e-10 -9.80634e-11 -1.04407e-10 -1.04407e-10
14760000 295.56 -56.0621 -12.2959 170.564 -1.76421 -28.2507 37.3903 69.189 -36.8268 52.9993 -8.82316e-10 -5.85864e-10 -1.77195e-10 -3.50215e-10 -5.93833e-10 -2.79667e-10 -2.76114e-10 -2.76114e-10
14770000 295.43 -71.6651 10.0467 202.607 3.59021 2.35307 61.5481 81.9066 -46.1037 75.7248 4.09893e-10 8.83181e-10 4.3333e-10 -1.7108e-10 4.33689e-10 3.79989e-10 3.87304e-10 3.87304e-10
14780000 294.889 -82.9189 -6.07557 139.593 24.6227 -12.4796 64.036 91.4573 -52.4236 66.8816 7.07662e-10 7.92363e-10 4.6604e-10 1.56026e-10 3.42909e-10 3.52199e-10 3.50469e-10 3.50469e-10
14790000 296.26 -70.249 -3.36815 171.744 33.7356 -4.68919 49.641 81.8944 -53.7666 70.933 8.04925e-10 6.88799e-10 5.80371e-10 5.97255e-11 4.63445e-10 3.20798e-10 3.27053e-10 3.27053e-10
