# Time-averaged data for fix fixke
# TimeStep c_kea c_pea
20560000 19048.6 -715924
20570000 19041.4 -715970
20580000 19038 -716002
20590000 19069.8 -715949
20600000 19050.3 -715934
20610000 19067.2 -715944
20620000 19035.8 -715916
20630000 19045.7 -715908
20640000 19063.2 -715993
20650000 19065.5 -715988
20660000 19050.5 -715961
20670000 19066.6 -715875
20680000 19076.1 -715877
20690000 19065.5 -715917
20700000 19060.6 -715873
20710000 19051.8 -715965
20720000 19078.4 -715991
20730000 19072.1 -715909
20740000 19036.1 -715938
20750000 19073.2 -715951
20760000 19082 -715872
20770000 19077.6 -715901
20780000 19048.7 -715924
20790000 19083.9 -715927
20800000 19081.4 -715918
20810000 19036.2 -715970
20820000 19056 -715953
20830000 19069.9 -715871
20840000 19077.6 -715894
20850000 19052.1 -715949
20860000 19058.4 -715851
20870000 19049.4 -715926
20880000 19048.1 -715898
20890000 19044.3 -715938
20900000 19056.9 -715973
20910000 19059.2 -715860
20920000 19020.3 -715935
20930000 19060.3 -715901
20940000 19051.8 -715933
20950000 19069.3 -715887
20960000 19081.1 -715895
20970000 19067.1 -715909
20980000 19058.8 -715909
20990000 19060.6 -715917
21000000 19042.8 -716015
21010000 19035.3 -715932
21020000 19039.3 -715910
21030000 19049.2 -715965
21040000 19033.6 -715953
21050000 19034.7 -715927
21060000 19032.3 -715943
21070000 19047.1 -715907
21080000 19028.2 -715983
21090000 19070.2 -715938
21100000 19075.4 -715879
21110000 19053.1 -715996
21120000 19048.3 -715982
21130000 19067.2 -715907
21140000 19051.5 -715945
21150000 19040.6 -715894
21160000 19063 -715909
21170000 19052.9 -715918
21180000 19038.1 -715956
21190000 19061.6 -715939
21200000 19015.2 -715996
21210000 19054.5 -715945
21220000 19043.6 -715998
21230000 19071.1 -715947
21240000 18996.4 -715983
21250000 19011.2 -715999
21260000 19018.1 -715984
21270000 19045.2 -715930
21280000 19067.7 -715922
21290000 19046 -715944
21300000 19026.8 -715897
21310000 19034.1 -715886
21320000 19040 -716015
21330000 19019.4 -715965
21340000 19013.2 -715995
21350000 19027.9 -716008
21360000 19032.1 -716022
21370000 19034.9 -715929
21380000 19023.6 -716000
21390000 19025.3 -715936
21400000 19023.5 -715955
21410000 19006.8 -715961
21420000 19033.7 -715932
21430000 19028.1 -715967
21440000 19046.3 -716012
21450000 19038.7 -715974
21460000 19042.3 -715938
21470000 19054.6 -715893
21480000 19013.7 -715977
21490000 19040.2 -715991
21500000 19063.4 -715924
21510000 19033.8 -715920
21520000 19045.2 -715919
21530000 19073.4 -715885
21540000 19031.9 -715978
21550000 19031.2 -715984
21560000 19047.9 -715899
21570000 19029.5 -715961
21580000 19037.8 -715939
21590000 19008.7 -716029
21600000 19040.2 -715951
21610000 19036.7 -715897
21620000 19038.9 -715906
21630000 19011.8 -715971
21640000 19046.1 -715946
21650000 19032.6 -715981
21660000 19039.2 -715944
21670000 19037.5 -715958
21680000 19036 -715932
21690000 19064.9 -715899
21700000 19035.1 -715940
21710000 19041.7 -715916
21720000 19051.2 -715931
21730000 19065.9 -715922
21740000 19059.2 -715926
21750000 19046.9 -715918
21760000 19029.3 -715977
21770000 19016 -716027
21780000 19077.2 -715923
21790000 19052.3 -715880
21800000 19038.5 -715909
21810000 19056.2 -715921
21820000 19056.6 -715890
21830000 19028.8 -715937
21840000 19018.5 -716017
21850000 19021.7 -715991
21860000 19049.3 -715933
21870000 19060 -715876
21880000 19053.1 -715919
21890000 19063.3 -715925
21900000 19058.1 -715913
21910000 19069.3 -715857
21920000 19065.8 -715930
21930000 19081.9 -715850
21940000 19048.8 -715939
21950000 19058.6 -715928
21960000 19091.7 -715858
21970000 19063.9 -715920
21980000 19065.9 -715918
21990000 19053.2 -715904
22000000 19087 -715932
22010000 19074.2 -715930
22020000 19083.8 -715918
22030000 19064.4 -715859
22040000 19087.9 -715919
22050000 19074.9 -715820
22060000 19065.1 -715931
22070000 19062.2 -715902
22080000 19071.9 -715859
22090000 19070 -715936
22100000 19047.5 -715936
22110000 19045.9 -715930
22120000 19038.5 -715930
22130000 19073.9 -715905
22140000 19033.1 -715928
22150000 19050.9 -715888
22160000 19079.4 -715889
22170000 19061.4 -715999
22180000 19053.9 -715972
22190000 19063.4 -715828
22200000 19090 -715875
22210000 19062.2 -715911
22220000 19045.9 -715927
22230000 19062.8 -715911
22240000 19077 -715939
22250000 19063.9 -715915
22260000 19055.1 -715971
22270000 19032.4 -715931
22280000 19031.7 -715997
22290000 19043 -715930
22300000 19047.6 -715929
22310000 19063.1 -715928
22320000 19045.7 -715910
22330000 19052.9 -715880
22340000 19077.8 -715847
22350000 19047.8 -715930
22360000 19012.2 -715897
22370000 19031.9 -715965
22380000 19058 -715981
22390000 19042.9 -715916
22400000 19037.3 -715916
22410000 19038.8 -715919
22420000 19063.5 -715917
22430000 19052 -715900
22440000 19011.1 -715964
22450000 19043.6 -715943
22460000 19040.4 -715951
22470000 19012.6 -716010
