# Time-averaged data for fix fixke
# TimeStep c_kea c_pea
23700000 21212.1 -713679
23710000 21235.7 -713525
23720000 21251.5 -713524
23730000 21213.9 -713534
23740000 21234.9 -713558
23750000 21246.5 -713512
23760000 21248.6 -713518
23770000 21255.6 -713465
23780000 21225.7 -713542
23790000 21238.4 -713431
23800000 21270.5 -713401
23810000 21225.9 -713497
23820000 21205.5 -713497
23830000 21234.6 -713519
23840000 21246.3 -713492
23850000 21260.8 -713551
23860000 21261.3 -713499
23870000 21230.1 -713531
23880000 21270.1 -713502
23890000 21275.9 -713467
23900000 21242.2 -713512
23910000 21264.2 -713533
23920000 21260.4 -713486
23930000 21246.6 -713556
23940000 21250.4 -713531
23950000 21277 -713462
23960000 21256.5 -713547
23970000 21245.3 -713578
23980000 21233.4 -713485
23990000 21205.4 -713499
24000000 21269.8 -713466
24010000 21229.2 -713525
24020000 21246.4 -713461
24030000 21262.7 -713457
24040000 21250.7 -713512
24050000 21249.5 -713529
24060000 21252 -713569
24070000 21240.4 -713550
24080000 21304.8 -713465
24090000 21240.8 -713465
24100000 21251.3 -713465
24110000 21214 -713517
24120000 21231.7 -713535
24130000 21261 -713514
24140000 21230.1 -713537
24150000 21220.1 -713538
24160000 21237.3 -713500
24170000 21251.1 -713462
24180000 21250.6 -713456
24190000 21215.9 -713566
24200000 21213.4 -713520
24210000 21241.7 -713421
24220000 21254.2 -713535
24230000 21239.2 -713573
24240000 21244.2 -713533
24250000 21232.2 -713523
24260000 21230.5 -713525
24270000 21227.2 -713616
24280000 21242.9 -713533
24290000 21256.4 -713476
24300000 21258.5 -713513
24310000 21227.7 -713527
24320000 21234.1 -713549
24330000 21234.6 -713587
24340000 21256.7 -713597
24350000 21206.2 -713561
24360000 21226.1 -713573
24370000 21208.3 -713570
24380000 21229.6 -713581
24390000 21204.4 -713548
24400000 21230.5 -713493
24410000 21215.6 -713513
24420000 21254.6 -713512
24430000 21275.9 -713443
24440000 21245.2 -713523
24450000 21220.7 -713561
24460000 21250.9 -713447
24470000 21220.6 -713537
24480000 21213 -713594
24490000 21204.6 -713620
24500000 21239 -713461
