# Time-averaged data for fix fixflux1
# TimeStep v_Jz1 v_Jzk1 v_Jzp1 v_Jzb1 v_Jza1 v_Jzd1
663000 1.45318e-08 9.25827e-07 1.1192e-06 -1.07811e-06 -1.38112e-07 3.03663e-07
664000 -8.14905e-07 -2.68205e-07 -5.58247e-07 1.33631e-07 -1.21591e-07 -2.29402e-07
665000 -2.51148e-06 -1.8106e-06 -1.62801e-06 -5.26959e-08 -5.98878e-07 -4.09285e-07
666000 -1.24047e-06 -4.81952e-07 -1.2661e-07 -5.95051e-07 -3.50652e-07 -2.80401e-07
667000 1.75005e-06 2.93122e-06 1.85254e-06 -1.21506e-06 6.66165e-07 8.22079e-07
668000 -5.19302e-07 1.96668e-06 9.76936e-07 -1.92631e-06 2.31478e-07 5.29487e-07
669000 -3.08337e-06 -2.11088e-06 -1.04297e-06 -9.22882e-07 -9.40461e-07 -5.43868e-07
670000 -3.21787e-06 -2.54486e-06 -1.93532e-06 9.28026e-08 -1.04028e-06 -7.99319e-07
671000 -1.21124e-06 -2.03884e-06 -1.43684e-06 1.05417e-06 -5.25679e-07 -6.57025e-07
672000 -1.29278e-06 -5.97604e-07 -8.05149e-07 -3.53395e-07 -8.38982e-08 -1.75037e-07
673000 2.22106e-06 1.17661e-06 3.32014e-07 9.15929e-07 9.52179e-07 2.86565e-07
674000 -6.69453e-07 5.49731e-07 9.28522e-07 -1.16293e-06 -6.28227e-07 1.42213e-07
675000 -9.31941e-07 -1.0012e-06 -1.27839e-06 5.97634e-07 -3.44481e-07 -2.56219e-07
676000 -9.93433e-07 -9.45e-07 -6.08368e-07 3.02309e-08 -2.46597e-07 -2.8809e-07
677000 9.19516e-07 1.2333e-06 5.27105e-07 -5.17318e-07 6.9175e-07 3.1811e-07
678000 4.62978e-07 1.47048e-06 1.1625e-06 -1.07272e-06 7.03173e-08 3.69594e-07
679000 -5.34875e-07 -3.99466e-08 5.77693e-07 -9.27775e-07 -2.93447e-07 9.22439e-08
680000 -1.54033e-06 -1.06334e-06 -5.79482e-07 -1.03453e-08 -5.90743e-07 -3.34835e-07
681000 -2.07048e-07 -6.76524e-07 -1.15028e-06 6.64849e-07 2.80299e-07 -1.22587e-07
682000 1.43644e-07 3.90308e-07 2.6962e-07 -2.06557e-07 -1.49848e-07 1.17228e-07
683000 5.88529e-07 7.15876e-07 3.01236e-08 2.73379e-07 4.01484e-07 2.47112e-07
684000 3.86344e-07 -2.57509e-07 1.48254e-07 2.84272e-08 1.66814e-08 -1.03958e-07
685000 -2.34105e-06 -1.00047e-06 -8.22714e-07 -5.90613e-07 -6.87642e-07 -2.9957e-07
686000 -1.37457e-06 5.22491e-07 -4.51598e-08 -1.33664e-06 -8.37888e-08 2.88803e-07
687000 2.00653e-06 1.98659e-06 1.38491e-06 -1.28102e-08 2.86351e-07 6.02056e-07
688000 2.49605e-06 2.96988e-06 2.22488e-06 -9.73662e-07 7.96317e-07 9.61506e-07
689000 -1.49635e-06 -4.52555e-08 -3.00109e-07 -9.9037e-07 -1.43344e-07 -1.0384e-07
690000 -3.11541e-06 -1.74088e-06 -1.40834e-06 -5.25818e-07 -8.70603e-07 -5.94004e-07
691000 -7.90988e-07 -2.72478e-07 -2.33238e-07 -6.77343e-07 -2.74242e-08 -9.50746e-08
692000 1.72884e-06 2.90432e-06 2.18422e-06 -1.3326e-06 4.62949e-07 8.70155e-07
693000 3.04323e-06 2.86615e-06 2.23536e-06 -6.32941e-07 1.12967e-06 8.06338e-07
694000 -1.58971e-06 -3.63849e-07 -5.82421e-07 -6.84752e-07 -2.59681e-07 -7.44148e-08
695000 -1.54531e-06 -1.5123e-06 -8.52978e-07 3.05708e-07 -7.9827e-07 -3.78305e-07
696000 -2.40866e-06 -3.15431e-06 -1.95697e-06 1.04991e-06 -9.77971e-07 -1.08473e-06
697000 -3.1918e-06 -2.57636e-06 -2.20573e-06 7.05367e-08 -8.70936e-07 -6.93222e-07
698000 5.22724e-07 1.77695e-06 7.31585e-07 -1.09394e-06 7.19968e-07 6.20122e-07
699000 2.74052e-06 1.96081e-06 8.83219e-07 5.2255e-07 9.89098e-07 6.10046e-07
700000 -1.15755e-06 2.1411e-08 2.78269e-07 -9.10942e-07 -5.57205e-07 1.81796e-07
701000 -1.58859e-06 -1.88696e-06 -1.25357e-06 8.46252e-07 -9.55108e-07 -7.65659e-07
702000 -1.35789e-06 -1.77109e-06 -1.91471e-06 8.59856e-07 -1.02557e-07 -6.68047e-07
703000 -8.30903e-07 1.17708e-06 6.2262e-07 -1.43072e-06 -1.82399e-07 2.9993e-07
704000 1.79963e-06 2.99667e-06 2.13026e-06 -1.31381e-06 5.5902e-07 1.0208e-06
705000 7.71721e-07 2.73381e-06 1.80479e-06 -1.72681e-06 3.77818e-07 7.00731e-07
706000 -6.21175e-07 -3.95599e-07 -3.87587e-07 4.50981e-08 -2.00433e-07 -1.99939e-07
707000 -1.48952e-06 -2.04128e-06 -1.63523e-06 6.46643e-07 -2.99261e-07 -5.49154e-07
708000 -1.35187e-06 -5.17647e-07 -1.10641e-06 1.25872e-07 -1.39312e-07 -1.29333e-07
709000 -3.73112e-07 9.13705e-07 6.93339e-07 -1.11759e-06 3.24866e-08 2.21425e-07
710000 2.9595e-06 2.69032e-06 1.81377e-06 -1.92985e-07 1.02553e-06 7.73462e-07
711000 -1.35869e-07 1.2454e-06 6.56499e-07 -1.08138e-06 5.56889e-08 4.14097e-07
712000 -1.76154e-06 -1.43955e-06 -1.67357e-06 -2.39956e-08 -6.94345e-08 -4.28711e-07
