# Time-averaged data for fix fixke
# TimeStep c_kea c_pea
989000 71565.1 -23545
990000 71481.9 -23567
991000 71478.2 -23679.8
992000 71481 -23644.3
993000 71410.9 -23684.8
994000 71422.2 -23698.7
995000 71462.9 -23679.5
996000 71290.3 -23733.6
997000 71259.3 -23843.9
998000 71368.8 -23829
999000 71367.9 -23765.8
1000000 71387.9 -23764.5
1001000 71423.2 -23655.5
1002000 71426.9 -23581.1
1003000 71454.1 -23635.3
1004000 71326.2 -23734.2
1005000 71397.2 -23742.2
1006000 71325.3 -23786.4
1007000 71299.4 -23802
1008000 71304.3 -23840.1
1009000 71238.4 -23936.6
1010000 71187.6 -23951.9
1011000 71320.4 -23852.3
1012000 71329.4 -23895.2
1013000 71357.6 -23818.8
1014000 71433.9 -23758.9
1015000 71443.6 -23752.6
1016000 71440.6 -23711.9
1017000 71376.8 -23820.7
1018000 71414.3 -23735.4
1019000 71503.8 -23768.7
1020000 71364 -23855.9
1021000 71434.3 -23798.4
1022000 71384.3 -23795.8
1023000 71383.9 -23882.3
1024000 71363.1 -23882.8
1025000 71379.7 -23826.3
1026000 71356.4 -23850.7
1027000 71276.9 -24010.1
1028000 71259.9 -24047.4
1029000 71326.3 -23977.7
1030000 71326.7 -23973.7
1031000 71367.1 -23909.4
1032000 71346.4 -23908
1033000 71412 -23826.5
1034000 71387.1 -23878.9
1035000 71282.5 -24004.5
1036000 71247.6 -23954.3
1037000 71311.4 -23973.3
1038000 71409.5 -23863.7
1039000 71377.2 -23822.2
1040000 71348.5 -23805.9
1041000 71297.2 -23739.7
1042000 71339.7 -23762.5
1043000 71368.8 -23709
1044000 71443.5 -23635.1
1045000 71530 -23654.4
1046000 71540 -23688.9
1047000 71470.1 -23687.7
1048000 71385.1 -23694
1049000 71299.2 -23827.2
1050000 71350.5 -23905.9
1051000 71371.1 -23795.8
1052000 71346.5 -23779.2
1053000 71403.4 -23731.6
1054000 71378 -23817.2
1055000 71466.1 -23664.8
1056000 71460.3 -23678
1057000 71441.8 -23705.9
1058000 71464.3 -23763.6
1059000 71400.1 -23729.7
1060000 71480 -23696.3
1061000 71480 -23574.6
1062000 71472.8 -23586.5
1063000 71523 -23664.4
1064000 71566.8 -23691.2
1065000 71582 -23711.3
1066000 71459.4 -23752.5
1067000 71533.4 -23718.4
1068000 71518 -23767.6
1069000 71552.4 -23752
